PublishedAgo,Rating,Employer,JobTitle,Founded,Type,Industry,Sector,MinSalary,MaxSalary,City,State,Country,MinSize,MaxSize,MinRevenue,MaxRevenue
5d,4.3,KGS Technology Group Inc,Junior Software Engineer,2008.0,Company - Private,Information Technology Support Services,Information Technology,60.0,80.0,Remote,Remote,Remote,51.0,200.0,1000000.0,5000000.0
4d,4.2,"QSC, LLC",AI Engineer,1968.0,Company - Private,Electronics Manufacturing,Manufacturing,102.0,147.0,Remote,Remote,Remote,501.0,1000.0,,
30d+,4.2,MIT Lincoln Laboratory,AI Engineer,1951.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,94.0,138.0,Lexington, MA,United States,1001.0,5000.0,,
6d,4.2,Hewlett Packard Enterprise,AI Solution Engineer,2015.0,Company - Public,Information Technology Support Services,Information Technology,123.0,283.0,San Jose, CA,United States,10000.0,10000.0,,
2d,3.3,Oran Inc,AI/ML Cloud Engineer,2004.0,Company - Private,Business Consulting,Management & Consulting,140.0,140.0,Remote,Remote,Remote,1.0,50.0,1000000.0,5000000.0
9d,5.0,Accede LLC,Computer Vision AI Engineer,2019.0,Company - Private,Information Technology Support Services,Information Technology,108.0,120.6,Remote,Remote,Remote,51.0,200.0,5000000.0,25000000.0
30d+,4.2,Booz Allen Hamilton,AI Prompt Engineer,1914.0,Company - Public,Business Consulting,Management & Consulting,93.0,212.0,Bethesda, MD,United States,10000.0,10000.0,5000000000.0,10000000000.0
30d+,5.0,Arize AI,Frontend Engineer,2020.0,Company - Private,Software Development,Information Technology,100.0,185.0,Berkeley, CA,United States,51.0,200.0,,
27d,4.4,Cisco Systems,Senior AI Engineer - 1403502,1984.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,102.0,156.0,Annapolis Junction, MD,United States,10000.0,10000.0,10000000000.0,10000000000.0
25d,5.0,Cyberhaven,AI Cybersecurity Engineer,2016.0,Company - Private,Information Technology Support Services,Information Technology,160.0,190.0,Remote,Remote,Remote,51.0,200.0,,
16d,3.9,"SRC, Inc",Machine Learning Engineer (Entry Level),1957.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,73.0,107.0,Syracuse, NY,United States,1001.0,5000.0,,
5d,4.3,Microsoft,Software Engineer,1975.0,Company - Public,Computer Hardware Development,Information Technology,76.0,152.0,Redmond, WA,United States,10000.0,10000.0,10000000000.0,10000000000.0
20d,4.1,PMAT,AI/ML Engineer,2007.0,Company - Private,Information Technology Support Services,Information Technology,64.0,97.0,Arlington, VA,United States,51.0,200.0,25000000.0,100000000.0
6d,4.7,NVIDIA,Architecture Energy Modeling Engineer,1993.0,Company - Public,Computer Hardware Development,Information Technology,156.0,288.0,Santa Clara, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
24d,5.0,FreightVerify,AI Engineer,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,75.0,110.0,Ann Arbor, MI,United States,51.0,200.0,,
5d,4.9,Snappyhires,Machine Learning Engineer,2014.0,Company - Private,Machinery Manufacturing,Manufacturing,108.0,162.0,Remote,Remote,Remote,51.0,200.0,1000000.0,5000000.0
30d+,4.3,Alelo,Conversational AI / NLP Engineer,2003.0,Company - Private,Banking & Lending,Financial Services,130.0,130.0,Los Angeles, CA,United States,1001.0,5000.0,,
3d,4.5,ServiceNow,Machine Learning Engineer,2004.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,119.0,185.0,San Diego, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
30d+,3.5,Eightfold.AI,Machine Learning Engineer,2016.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,133.0,189.0,Santa Clara, CA,United States,501.0,1000.0,,
18d,3.6,Tesla,"Machine Learning Engineer – 3D computer vision, Autopilot AI",2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,115.0,198.0,Palo Alto, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
19d,4.2,Autodesk,Machine Learning Engineer,1982.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,70.0,105.0,San Francisco, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
9d,4.0,PayPal,AI Machine Learning Engineer,1998.0,Company - Public,Internet & Web Services,Information Technology,97.0,234.0,San Jose, CA,United States,10000.0,10000.0,10000000000.0,10000000000.0
4d,4.3,MIT,Machine Learning Engineer,1861.0,College / University,Colleges & Universities,Education,113.0,162.0,Cambridge, MA,United States,10000.0,10000.0,1000000000.0,5000000000.0
30d+,4.4,Adobe,Machine Learning Engineer,1982.0,Company - Public,Computer Hardware Development,Information Technology,117.0,214.0,San Jose, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
30d+,4.2,Affinity.co,Machine Learning Engineer,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,87.0,147.0,Remote,Remote,Remote,201.0,500.0,,
30d+,3.4,Paradyme Management,Junior AI/ML Software Developer,2003.0,Company - Private,Information Technology Support Services,Information Technology,60.0,89.0,Washington, DC,United States,51.0,200.0,5000000.0,25000000.0
30d+,3.5,TikTok,Frontend Software Engineer,2016.0,Company - Private,Internet & Web Services,Information Technology,129.0,195.0,Seattle, WA,United States,1001.0,5000.0,,
30d+,4.0,Honeywell,Software Engineering Co-op (Fall 2023),1885.0,Company - Public,Computer Hardware Development,Information Technology,120.0,160.0,Mason, OH,United States,10000.0,10000.0,10000000000.0,10000000000.0
30d+,3.5,Discord,Staff Software Engineer - Applied Machine Learning,2015.0,Company - Private,Internet & Web Services,Information Technology,136.0,194.0,San Francisco, CA,United States,501.0,1000.0,25000000.0,100000000.0
30d+,4.0,Sony Electronics,AI Engineer (AI Ethics),1946.0,Subsidiary or Business Segment,Consumer Product Manufacturing,Manufacturing,95.0,165.0,New York, NY,United States,10000.0,10000.0,1000000000.0,5000000000.0
1d,5.0,MindsDB,Applied Machine Learning Engineer,2017.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,160.0,190.0,San Francisco, CA,United States,1.0,50.0,,
30d+,3.6,Tesla,"Machine Learning Engineer – 3D computer vision, Autopilot AI",2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,133.0,189.0,Palo Alto, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
19d,4.4,Zynga,Senior Software Engineer (Frontend) - Applied AI,2007.0,Company - Public,Video Game Publishing,Media & Communication,70.0,105.0,Remote,Remote,Remote,1001.0,5000.0,500000000.0,1000000000.0
12d,4.2,Autodesk,Machine Learning Engineer,1982.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,121.0,163.0,San Francisco, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
30d+,3.4,Paradyme Management,Junior AI/ML Software Developer,2003.0,Company - Private,Information Technology Support Services,Information Technology,60.0,89.0,Washington, DC,United States,51.0,200.0,5000000.0,25000000.0
30d+,5.0,Runway AI,Staff Frontend Engineer,2018.0,Company - Private,Software Development,Information Technology,160.0,190.0,Remote,Remote,Remote,1.0,50.0,,
30d+,4.5,Curai,Machine Learning Engineer (Remote),2017.0,Company - Private,Hospitals & Health Clinics,Healthcare,150.0,200.0,San Francisco, CA,United States,51.0,200.0,,
9d,4.0,PayPal,AI Machine Learning Engineer,1998.0,Company - Public,Internet & Web Services,Information Technology,97.0,234.0,San Jose, CA,United States,10000.0,10000.0,10000000000.0,10000000000.0
4d,4.3,MIT,Machine Learning Engineer,1861.0,College / University,Colleges & Universities,Education,113.0,162.0,Cambridge, MA,United States,10000.0,10000.0,1000000000.0,5000000000.0
17d,3.9,"Zoom Video Communications, Inc.",Machine Learning Engineer,2011.0,Company - Public,Information Technology Support Services,Information Technology,117.0,117.0,San Francisco, CA,United States,1001.0,5000.0,1000000000.0,5000000000.0
6d,3.9,ITHAKA,"Principal Engineer, Machine Learning",1995.0,Nonprofit Organization,Internet & Web Services,Information Technology,152.0,190.0,Ann Arbor, MI,United States,201.0,500.0,25000000.0,100000000.0
30d+,4.4,Adobe,Machine Learning Engineer,1982.0,Company - Public,Computer Hardware Development,Information Technology,117.0,214.0,San Jose, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
3d,3.9,Meta,"Software Engineer, Machine Learning - Generative AI",2004.0,Company - Public,Internet & Web Services,Information Technology,173.0,241.0,Menlo Park, CA,United States,10000.0,10000.0,10000000000.0,10000000000.0
20d,4.2,Workday,Machine Learning Engineer - NLP - Workforce,2005.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,139.0,209.0,Atlanta, GA,United States,10000.0,10000.0,1000000000.0,5000000000.0
30d+,4.4,Adobe,Research Scientist/Engineer,1982.0,Company - Public,Computer Hardware Development,Information Technology,121.0,239.0,San Jose, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
5d,3.6,Warner Music Group,Software Engineer,2003.0,Company - Public,Broadcast Media,Media & Communication,100.0,203.0,New York, NY,United States,1001.0,5000.0,1000000000.0,5000000000.0
24d,4.2,NOKIA,Software Engineering Coop,1865.0,Company - Public,Telecommunications Services,Telecommunications,121.0,174.0,Sunnyvale, CA,United States,10000.0,10000.0,10000000000.0,10000000000.0
3d,3.9,Meta,"Software Engineer, Machine Learning - Generative AI",2004.0,Company - Public,Internet & Web Services,Information Technology,173.0,241.0,Menlo Park, CA,United States,10000.0,10000.0,10000000000.0,10000000000.0
30d+,3.5,Discord,Staff Software Engineer - Applied Machine Learning,2015.0,Company - Private,Internet & Web Services,Information Technology,136.0,194.0,San Francisco, CA,United States,501.0,1000.0,25000000.0,100000000.0
9d,3.6,Sephora USA,"Principal Engineer, ML",1969.0,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,171.0,236.0,San Francisco, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
18d,4.2,Autodesk,Machine Learning Engineer,1982.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,115.0,198.0,San Francisco, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
12d,3.5,Eightfold.AI,Machine Learning Engineer,2016.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,121.0,163.0,Santa Clara, CA,United States,501.0,1000.0,,
9d,4.0,PayPal,AI Machine Learning Engineer,1998.0,Company - Public,Internet & Web Services,Information Technology,97.0,234.0,San Jose, CA,United States,10000.0,10000.0,10000000000.0,10000000000.0
20d,4.2,Workday,Machine Learning Engineer - NLP - Workforce,2005.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,139.0,209.0,Atlanta, GA,United States,10000.0,10000.0,1000000000.0,5000000000.0
30d+,4.4,Adobe,Research Scientist/Engineer,1982.0,Company - Public,Computer Hardware Development,Information Technology,121.0,239.0,San Jose, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
18d,3.6,Tesla,ML Supercomputer Performance Software Engineer - Autopilot AI / Tesla Bot (System-Level),2003.0,Company - Public,Transportation Equipment Manufacturing,Manufacturing,121.0,181.0,Palo Alto, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
4d,4.4,Adobe,Senior ML Engineer,1982.0,Company - Public,Computer Hardware Development,Information Technology,141.0,282.0,San Jose, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
30d+,5.0,Runway AI,Staff Frontend Engineer,2018.0,Company - Private,Software Development,Information Technology,160.0,190.0,Remote,Remote,Remote,1.0,50.0,,
30d+,4.4,Adobe,Machine Learning Engineer,1982.0,Company - Public,Computer Hardware Development,Information Technology,117.0,214.0,San Jose, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
30d+,4.2,Affinity.co,Machine Learning Engineer,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,87.0,147.0,Remote,Remote,Remote,201.0,500.0,,
30d+,3.4,Paradyme Management,Junior AI/ML Software Developer,2003.0,Company - Private,Information Technology Support Services,Information Technology,60.0,89.0,Washington, DC,United States,51.0,200.0,5000000.0,25000000.0
17d,3.9,"Zoom Video Communications, Inc.",Machine Learning Engineer,2011.0,Company - Public,Information Technology Support Services,Information Technology,117.0,117.0,San Francisco, CA,United States,1001.0,5000.0,1000000000.0,5000000000.0
3d,3.5,TikTok,"Research Engineer, University Graduates (Machine Learning Sys-US) - 2024 Start (PhD)",2016.0,Company - Private,Internet & Web Services,Information Technology,137.0,205.0,San Jose, CA,United States,1001.0,5000.0,,
2d,4.3,Microsoft,"Principal Software Engineer (AI), Industry Solutions Engineering",1975.0,Company - Public,Computer Hardware Development,Information Technology,134.0,257.0,Redmond, WA,United States,10000.0,10000.0,10000000000.0,10000000000.0
30d+,3.9,Harman International,Senior AI/ML Engineer,1980.0,Company - Private,Consumer Product Manufacturing,Manufacturing,124.0,152.0,Mountain View, CA,United States,10000.0,10000.0,5000000000.0,10000000000.0
3d,3.9,Meta,"Software Engineer, Machine Learning - Generative AI",2004.0,Company - Public,Internet & Web Services,Information Technology,173.0,241.0,Menlo Park, CA,United States,10000.0,10000.0,10000000000.0,10000000000.0
30d+,3.5,Discord,Staff Software Engineer - Applied Machine Learning,2015.0,Company - Private,Internet & Web Services,Information Technology,136.0,194.0,San Francisco, CA,United States,501.0,1000.0,25000000.0,100000000.0
2d,4.3,Microsoft,"Principal Software Engineer (AI), Industry Solutions Engineering",1975.0,Company - Public,Computer Hardware Development,Information Technology,134.0,257.0,Redmond, WA,United States,10000.0,10000.0,10000000000.0,10000000000.0
2d,4.3,Microsoft,"Machine Learning Engineer, Industry Solutions Engineering",1975.0,Company - Public,Computer Hardware Development,Information Technology,134.0,257.0,Redmond, WA,United States,10000.0,10000.0,10000000000.0,10000000000.0
9d,3.6,Sephora USA,"Principal Engineer, ML",1969.0,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,171.0,236.0,San Francisco, CA,United States,10000.0,10000.0,1000000000.0,5000000000.0
1d,5.0,MindsDB,Applied Machine Learning Engineer,2017.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,160.0,190.0,San Francisco, CA,United States,1.0,50.0,,
12d,3.5,Eightfold.AI,Machine Learning Engineer,2016.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,121.0,163.0,Santa Clara, CA,United States,501.0,1000.0,,
